"CMPLNT_NUM","CMPLNT_FR_DT","CMPLNT_FR_TM","CMPLNT_TO_DT","CMPLNT_TO_TM","RPT_DT","LAW_CAT_CD","BORO_NM","Latitude","Longitude"
952161425,"6/19/15",00:00:00,"12/24/15",00:00:00,"12/30/15","FELONY","BRONX",40.81142409,-73.92772635
656864456,"6/10/15",16:24:00,"6/10/15",16:26:00,"12/17/15","FELONY","BRONX",40.81608887,-73.91768869
259987073,"6/20/15",16:00:00,"6/21/15",12:00:00,"12/16/15","MISDEMEANOR","BRONX",40.863835,-73.82202189
719954831,"6/2/15",18:48:00,"6/2/15",18:49:00,"12/15/15","FELONY","BRONX",40.81608887,-73.91768869
263045442,"6/30/15",16:00:00,"7/5/15",16:00:00,"12/11/15","VIOLATION","BRONX",40.8876438,-73.85210283
146269059,"6/17/15",21:00:00,"12/6/15",02:40:00,"12/7/15","MISDEMEANOR","BRONX",40.84791358,-73.90999385
524054859,"6/30/15",00:01:00,NA,NA,"12/4/15","FELONY","BRONX",40.82767919,-73.91680353
643170910,"6/28/15",14:00:00,NA,NA,"12/2/15","MISDEMEANOR","BRONX",40.82817579,-73.82386977
931278433,"6/17/15",15:34:00,"6/17/15",15:38:00,"12/2/15","FELONY","BRONX",40.81608887,-73.91768869
552114160,"6/10/15",11:48:00,NA,NA,"12/2/15","FELONY","BRONX",40.81608887,-73.91768869
353940295,"6/3/15",11:00:00,NA,NA,"12/1/15","VIOLATION","BRONX",40.85500117,-73.91097112
644956514,"6/6/15",09:00:00,"11/28/15",11:00:00,"11/28/15","VIOLATION","BRONX",40.8524772,-73.90223771
875656563,"6/26/15",14:00:00,"6/26/15",14:00:00,"11/24/15","FELONY","BRONX",40.79115187,-73.88437192
830023944,"6/22/15",13:00:00,"11/5/15",23:00:00,"11/23/15","FELONY","BRONX",40.81673587,-73.88754284
137715960,"6/10/15",11:00:00,NA,NA,"11/19/15","MISDEMEANOR","BRONX",40.815854,-73.89543093
200715676,"6/7/15",10:00:00,"11/17/15",08:55:00,"11/17/15","VIOLATION","BRONX",40.85742325,-73.90234612
870911477,"6/5/15",12:00:00,"11/16/15",20:30:00,"11/17/15","MISDEMEANOR","BRONX",40.82143753,-73.82752594
609120942,"6/20/15",10:00:00,"11/14/15",10:55:00,"11/14/15","MISDEMEANOR","BRONX",40.89505248,-73.90841449
962199790,"6/5/15",20:00:00,"6/6/15",07:00:00,"11/14/15","FELONY","BRONX",40.81786168,-73.88802506
915352891,"6/3/15",09:00:00,NA,NA,"11/14/15","FELONY","BRONX",40.81329259,-73.91471898
544920495,"6/20/15",07:46:00,"6/20/15",07:59:00,"11/13/15","MISDEMEANOR","BRONX",40.86607576,-73.89437579
904794671,"6/9/15",05:26:00,"6/9/15",05:52:00,"11/13/15","FELONY","BRONX",40.86607576,-73.89437579
496428851,"6/8/15",16:56:00,"6/8/15",16:59:00,"11/13/15","FELONY","BRONX",40.86607576,-73.89437579
818812455,"6/3/15",06:35:00,"6/3/15",10:59:00,"11/13/15","FELONY","BRONX",40.86607576,-73.89437579
899239890,"6/2/15",10:47:00,"6/2/15",11:04:00,"11/13/15","MISDEMEANOR","BRONX",40.86607576,-73.89437579
409387199,"6/3/15",10:28:00,NA,NA,"11/11/15","MISDEMEANOR","BRONX",40.82788869,-73.8751915
832150790,"6/1/15",14:30:00,NA,NA,"11/11/15","FELONY","BRONX",40.84793198,-73.91619988
990080478,"6/25/15",20:00:00,"11/10/15",16:00:00,"11/10/15","VIOLATION","BRONX",40.81309253,-73.82682866
