"CMPLNT_NUM","CMPLNT_FR_DT","CMPLNT_FR_TM","CMPLNT_TO_DT","CMPLNT_TO_TM","RPT_DT","LAW_CAT_CD","BORO_NM","Latitude","Longitude"
902159226,"1/29/15",15:18:00,NA,NA,"1/29/15","MISDEMEANOR","BRONX",40.85556261,-73.88756757
397178228,"1/31/15",23:10:00,"1/31/15",23:55:00,"1/31/15","MISDEMEANOR","BRONX",40.86565846,-73.89131056
844476971,"1/31/15",23:10:00,"1/31/15",23:15:00,"1/31/15","MISDEMEANOR","BRONX",40.82875462,-73.86659352
410720379,"1/31/15",23:07:00,"1/31/15",23:26:00,"1/31/15","VIOLATION","BRONX",40.82654891,-73.86513093
867687668,"1/31/15",23:05:00,NA,NA,"1/31/15","MISDEMEANOR","BRONX",40.87973119,-73.87566193
991642294,"1/31/15",22:35:00,NA,NA,"1/31/15","MISDEMEANOR","BRONX",40.84014165,-73.85676937
887176936,"1/31/15",22:30:00,"1/31/15",22:40:00,"1/31/15","VIOLATION","BRONX",40.85618332,-73.90314684
452166023,"1/31/15",22:05:00,NA,NA,"1/31/15","MISDEMEANOR","BRONX",40.85609696,-73.89847649
217245296,"1/31/15",22:00:00,"1/31/15",22:30:00,"1/31/15","FELONY","BRONX",40.82027627,-73.89600929
803298979,"1/31/15",22:00:00,"1/31/15",22:06:00,"1/31/15","MISDEMEANOR","BRONX",40.87848513,-73.85455325
575820182,"1/31/15",21:55:00,"1/31/15",22:15:00,"1/31/15","MISDEMEANOR","BRONX",40.85380538,-73.83083269
554997349,"1/31/15",21:50:00,"1/31/15",22:20:00,"1/31/15","VIOLATION","BRONX",40.82156708,-73.89688524
432409711,"1/31/15",21:42:00,"1/31/15",21:45:00,"1/31/15","MISDEMEANOR","BRONX",40.87720934,-73.86164715
623487968,"1/31/15",21:40:00,"1/31/15",21:41:00,"1/31/15","FELONY","BRONX",40.88449415,-73.90560096
122255401,"1/31/15",21:40:00,NA,NA,"1/31/15","MISDEMEANOR","BRONX",40.86046011,-73.90379857
305078316,"1/31/15",21:35:00,NA,NA,"1/31/15","FELONY","BRONX",40.86526243,-73.89641617
330527088,"1/31/15",21:30:00,"1/31/15",21:31:00,"1/31/15","FELONY","BRONX",40.85133509,-73.85498131
984731327,"1/31/15",21:20:00,"1/31/15",21:29:00,"1/31/15","MISDEMEANOR","BRONX",40.83482361,-73.90269008
631219029,"1/31/15",21:20:00,"1/31/15",21:29:00,"1/31/15","MISDEMEANOR","BRONX",40.83482361,-73.90269008
168870811,"1/31/15",21:20:00,"1/31/15",22:00:00,"1/31/15","MISDEMEANOR","BRONX",40.87306749,-73.87863577
670203763,"1/31/15",21:00:00,"1/31/15",21:15:00,"1/31/15","MISDEMEANOR","BRONX",40.81770983,-73.92397301
841568948,"1/31/15",21:00:00,NA,NA,"1/31/15","VIOLATION","BRONX",40.83658782,-73.91214858
472383803,"1/31/15",20:40:00,"1/31/15",20:50:00,"1/31/15","MISDEMEANOR","BRONX",40.85454735,-73.91333944
487182668,"1/31/15",20:38:00,"1/31/15",20:39:00,"1/31/15","MISDEMEANOR","BRONX",40.84169493,-73.91110819
704432007,"1/31/15",20:31:00,"1/31/15",20:31:00,"1/31/15","MISDEMEANOR","BRONX",40.83405134,-73.92739822
358158723,"1/31/15",20:30:00,NA,NA,"1/31/15","MISDEMEANOR","BRONX",40.84207966,-73.87851159
389337232,"1/31/15",20:30:00,"1/31/15",20:50:00,"1/31/15","MISDEMEANOR","BRONX",40.86118682,-73.90635708
817245118,"1/31/15",20:30:00,NA,NA,"1/31/15","MISDEMEANOR","BRONX",40.83216103,-73.91271454
955064330,"1/31/15",20:15:00,NA,NA,"1/31/15","FELONY","BRONX",40.82998817,-73.91398934
397995751,"1/31/15",20:10:00,"1/31/15",20:11:00,"1/31/15","MISDEMEANOR","BRONX",40.87009465,-73.85460052
233015491,"1/31/15",19:55:00,"1/31/15",20:44:00,"1/31/15","MISDEMEANOR","BRONX",40.85804057,-73.88988784
662320495,"1/31/15",19:50:00,"1/31/15",19:50:00,"1/31/15","VIOLATION","BRONX",40.87457816,-73.84109969
358977377,"1/31/15",19:45:00,NA,NA,"1/31/15","MISDEMEANOR","BRONX",40.82899949,-73.86474294
819664705,"1/31/15",19:43:00,"1/31/15",19:50:00,"1/31/15","MISDEMEANOR","BRONX",40.82208253,-73.89033033
899503184,"1/31/15",19:39:00,NA,NA,"1/31/15","MISDEMEANOR","BRONX",40.86828558,-73.8917799
413425041,"1/31/15",19:37:00,"1/31/15",20:12:00,"1/31/15","MISDEMEANOR","BRONX",40.84991503,-73.8678198
788111417,"1/31/15",19:35:00,"1/31/15",19:35:00,"1/31/15","MISDEMEANOR","BRONX",40.83394747,-73.90869374
418692265,"1/31/15",19:35:00,NA,NA,"1/31/15","MISDEMEANOR","BRONX",40.88864664,-73.84250551
256151145,"1/31/15",19:15:00,"1/31/15",19:30:00,"1/31/15","MISDEMEANOR","BRONX",40.86279408,-73.9016911
353702696,"1/31/15",19:10:00,"1/31/15",19:15:00,"1/31/15","MISDEMEANOR","BRONX",40.83115365,-73.92857217
820528357,"1/31/15",19:00:00,NA,NA,"1/31/15","MISDEMEANOR","BRONX",40.84615357,-73.89925069
134592732,"1/31/15",19:00:00,"1/31/15",19:10:00,"1/31/15","MISDEMEANOR","BRONX",40.81512229,-73.92097744
378570519,"1/31/15",19:00:00,NA,NA,"1/31/15","MISDEMEANOR","BRONX",40.87472506,-73.85251847
351245137,"1/31/15",18:55:00,"1/31/15",18:55:00,"1/31/15","FELONY","BRONX",40.84905533,-73.90315722
817557786,"1/31/15",18:45:00,"1/31/15",18:49:00,"1/31/15","FELONY","BRONX",40.86020622,-73.89289206
246082740,"1/31/15",18:40:00,"1/31/15",18:45:00,"1/31/15","FELONY","BRONX",40.85004961,-73.90074123
571198790,"1/31/15",18:30:00,"1/31/15",18:45:00,"1/31/15","MISDEMEANOR","BRONX",40.82208253,-73.89033033
866727391,"1/31/15",18:30:00,"1/31/15",18:40:00,"1/31/15","MISDEMEANOR","BRONX",40.86226749,-73.89588578
779373670,"1/31/15",18:30:00,"1/31/15",18:55:00,"1/31/15","FELONY","BRONX",40.89845792,-73.85429974
649430410,"1/31/15",18:12:00,NA,NA,"1/31/15","MISDEMEANOR","BRONX",40.8303276,-73.9127603
100283311,"1/31/15",18:00:00,"1/31/15",18:05:00,"1/31/15","MISDEMEANOR","BRONX",40.85666996,-73.89774178
535975822,"1/31/15",18:00:00,NA,NA,"1/31/15","FELONY","BRONX",40.86188902,-73.89320749
930414218,"1/31/15",17:40:00,"1/31/15",17:40:00,"1/31/15","MISDEMEANOR","BRONX",40.82191038,-73.9034677
490333442,"1/31/15",17:30:00,"1/31/15",17:51:00,"1/31/15","MISDEMEANOR","BRONX",40.83506907,-73.8609795
323537174,"1/31/15",17:25:00,NA,NA,"1/31/15","MISDEMEANOR","BRONX",40.82908755,-73.9135063
410406514,"1/31/15",17:25:00,"1/31/15",17:33:00,"1/31/15","MISDEMEANOR","BRONX",40.82100396,-73.89638751
114696171,"1/31/15",17:21:00,"1/31/15",17:35:00,"1/31/15","MISDEMEANOR","BRONX",40.84190414,-73.923443
904221594,"1/31/15",17:21:00,"1/31/15",17:35:00,"1/31/15","FELONY","BRONX",40.84190414,-73.923443
573834308,"1/31/15",17:20:00,"1/31/15",17:35:00,"1/31/15","FELONY","BRONX",40.81349702,-73.89934347
105686999,"1/31/15",17:15:00,"1/31/15",17:30:00,"1/31/15","VIOLATION","BRONX",40.85557658,-73.86477927
502588552,"1/31/15",17:00:00,"1/31/15",17:05:00,"1/31/15","MISDEMEANOR","BRONX",40.81856834,-73.92731395
375178248,"1/31/15",16:58:00,"1/31/15",17:03:00,"1/31/15","MISDEMEANOR","BRONX",40.81689214,-73.91637987
909586161,"1/31/15",16:54:00,NA,NA,"1/31/15","MISDEMEANOR","BRONX",40.86046011,-73.90379857
408456355,"1/31/15",16:50:00,"1/31/15",17:22:00,"1/31/15","MISDEMEANOR","BRONX",40.81383669,-73.91943276
929850200,"1/31/15",16:50:00,"1/31/15",17:22:00,"1/31/15","MISDEMEANOR","BRONX",40.82203994,-73.89173227
743421927,"1/31/15",16:40:00,"1/31/15",16:45:00,"1/31/15","MISDEMEANOR","BRONX",40.84612559,-73.89257136
558851810,"1/31/15",16:40:00,"1/31/15",16:45:00,"1/31/15","FELONY","BRONX",40.82211655,-73.90061308
255254180,"1/31/15",16:40:00,"1/31/15",16:40:00,"1/31/15","MISDEMEANOR","BRONX",40.83492033,-73.92570241
986785669,"1/31/15",16:30:00,NA,NA,"1/31/15","VIOLATION","BRONX",40.81589916,-73.91723011
517670892,"1/31/15",16:10:00,"1/31/15",16:39:00,"1/31/15","MISDEMEANOR","BRONX",40.81606827,-73.90855209
841194044,"1/31/15",16:10:00,NA,NA,"1/31/15","FELONY","BRONX",40.83364866,-73.90573092
205962571,"1/31/15",16:00:00,"1/31/15",16:20:00,"1/31/15","MISDEMEANOR","BRONX",40.82182143,-73.89587319
820355256,"1/31/15",16:00:00,"1/31/15",16:09:00,"1/31/15","MISDEMEANOR","BRONX",40.88373455,-73.89375102
641793145,"1/31/15",15:50:00,"1/31/15",16:00:00,"1/31/15","MISDEMEANOR","BRONX",40.85028556,-73.90387112
319089988,"1/31/15",15:45:00,"1/31/15",15:46:00,"1/31/15","FELONY","BRONX",40.83203689,-73.88673644
999441658,"1/31/15",15:40:00,"1/31/15",16:00:00,"1/31/15","MISDEMEANOR","BRONX",40.81973193,-73.8481928
932544931,"1/31/15",15:30:00,"1/31/15",16:15:00,"1/31/15","FELONY","BRONX",40.81608887,-73.91768869
531976581,"1/31/15",15:30:00,"1/31/15",16:00:00,"1/31/15","MISDEMEANOR","BRONX",40.81095467,-73.91935316
565595871,"1/31/15",15:30:00,"1/31/15",15:30:00,"1/31/15","MISDEMEANOR","BRONX",40.79115187,-73.88437192
744881265,"1/31/15",15:15:00,"1/31/15",15:20:00,"1/31/15","MISDEMEANOR","BRONX",40.81608766,-73.89582435
460032583,"1/31/15",15:12:00,"1/31/15",15:49:00,"1/31/15","MISDEMEANOR","BRONX",40.8148472,-73.89908132
386862023,"1/31/15",15:05:00,"1/31/15",16:47:00,"1/31/15","MISDEMEANOR","BRONX",40.85651306,-73.83753514
916474592,"1/31/15",15:00:00,"1/31/15",15:28:00,"1/31/15","MISDEMEANOR","BRONX",40.88323555,-73.86299799
587750809,"1/31/15",15:00:00,"1/31/15",16:00:00,"1/31/15","VIOLATION","BRONX",40.90929058,-73.9034457
956928013,"1/30/15",00:15:00,NA,NA,"1/30/15","FELONY","BRONX",40.88524405,-73.86020191
343226523,"1/31/15",14:30:00,NA,NA,"1/31/15","MISDEMEANOR","BRONX",40.87309789,-73.90194706
905488071,"1/31/15",14:30:00,"1/31/15",14:45:00,"1/31/15","FELONY","BRONX",40.88544957,-73.84489637
939320502,"1/31/15",13:30:00,"1/31/15",13:40:00,"1/31/15","MISDEMEANOR","BRONX",40.81498626,-73.88629942
599018050,"1/31/15",13:30:00,"1/31/15",14:30:00,"1/31/15","MISDEMEANOR","BRONX",40.835056,-73.8838981
227123056,"1/31/15",13:10:00,"1/31/15",13:15:00,"1/31/15","MISDEMEANOR","BRONX",40.83594122,-73.86041753
384583293,"1/31/15",13:00:00,NA,NA,"1/31/15","MISDEMEANOR","BRONX",40.87368018,-73.87923127
111780744,"1/31/15",12:30:00,NA,NA,"1/31/15","FELONY","BRONX",40.8331546,-73.90913931
877525679,"1/31/15",12:30:00,"1/31/15",12:30:00,"1/31/15","MISDEMEANOR","BRONX",40.83797124,-73.915945
636474954,"1/31/15",12:30:00,"1/31/15",12:45:00,"1/31/15","MISDEMEANOR","BRONX",40.88266054,-73.87896543
671650892,"1/31/15",12:00:00,"1/31/15",12:00:00,"1/31/15","MISDEMEANOR","BRONX",40.83267599,-73.90121524
542739874,"1/31/15",12:00:00,"1/31/15",12:05:00,"1/31/15","MISDEMEANOR","BRONX",40.82284373,-73.90364339
869434977,"1/31/15",12:00:00,NA,NA,"1/31/15","MISDEMEANOR","BRONX",40.83917631,-73.90889256
354514987,"1/31/15",12:00:00,"1/31/15",13:00:00,"1/31/15","VIOLATION","BRONX",40.81077874,-73.9079922
746662492,"1/31/15",11:30:00,NA,NA,"1/31/15","MISDEMEANOR","BRONX",40.81297521,-73.91609217
298993776,"1/31/15",11:30:00,"1/31/15",15:15:00,"1/31/15","FELONY","BRONX",40.83658782,-73.91214858
211262939,"1/31/15",11:22:00,NA,NA,"1/31/15","FELONY","BRONX",40.8157067,-73.91677153
671247647,"1/31/15",11:20:00,"1/31/15",11:30:00,"1/31/15","VIOLATION","BRONX",40.82679898,-73.89141017
366242010,"1/31/15",11:20:00,"1/31/15",11:25:00,"1/31/15","FELONY","BRONX",40.81796991,-73.88643161
