"CMPLNT_NUM","CMPLNT_FR_DT","CMPLNT_FR_TM","CMPLNT_TO_DT","CMPLNT_TO_TM","RPT_DT","LAW_CAT_CD","BORO_NM","Latitude","Longitude"
918784273,"5/1/15",01:00:00,"11/15/15",01:00:00,"12/30/15","MISDEMEANOR","STATEN ISLAND",40.59290825,-74.16300741
179446974,"5/25/15",22:15:00,"5/26/15",00:15:00,"12/9/15","MISDEMEANOR","STATEN ISLAND",40.59226901,-74.07111038
716350525,"5/31/15",16:00:00,"11/5/15",16:15:00,"11/5/15","MISDEMEANOR","STATEN ISLAND",40.57777538,-74.11619753
346535141,"5/27/15",00:01:00,"10/2/15",00:01:00,"11/3/15","FELONY","STATEN ISLAND",40.60500232,-74.14196918
955339741,"5/22/15",16:00:00,"10/29/15",22:04:00,"11/1/15","MISDEMEANOR","STATEN ISLAND",40.57817568,-74.16952684
436590725,"5/21/15",16:30:00,"5/21/15",17:25:00,"10/22/15","FELONY","STATEN ISLAND",40.56334546,-74.10824366
818373872,"5/31/15",20:00:00,"10/7/15",16:00:00,"10/8/15","VIOLATION","STATEN ISLAND",40.52269458,-74.23368425
249382652,"5/3/15",02:00:00,"5/3/15",02:30:00,"9/29/15","MISDEMEANOR","STATEN ISLAND",40.55624774,-74.15366571
255099714,"5/5/15",08:30:00,"5/5/15",09:30:00,"9/23/15","MISDEMEANOR","STATEN ISLAND",40.53470951,-74.20601797
758282972,"5/4/15",12:00:00,"8/17/15",12:00:00,"9/21/15","MISDEMEANOR","STATEN ISLAND",40.62846762,-74.09031472
471892810,"5/31/15",12:00:00,"9/12/15",16:00:00,"9/15/15","VIOLATION","STATEN ISLAND",40.60482871,-74.07617279
155655100,"5/27/15",11:50:00,"5/27/15",12:00:00,"9/8/15","VIOLATION","STATEN ISLAND",40.61152391,-74.08317489
582630982,"5/15/15",15:00:00,"8/24/15",09:45:00,"8/24/15","MISDEMEANOR","STATEN ISLAND",40.62634108,-74.07815349
832959180,"5/7/15",11:00:00,"8/16/15",15:00:00,"8/24/15","MISDEMEANOR","STATEN ISLAND",40.63806398,-74.1661083
241415818,"5/20/15",22:30:00,"5/20/15",22:40:00,"8/20/15","MISDEMEANOR","STATEN ISLAND",40.58409069,-74.10530712
473981496,"5/15/15",12:00:00,"5/15/15",18:00:00,"8/18/15","MISDEMEANOR","STATEN ISLAND",40.63898418,-74.17125231
587492031,"5/11/15",00:01:00,"5/11/15",23:55:00,"8/18/15","FELONY","STATEN ISLAND",40.53615759,-74.1622574
613412901,"5/1/15",00:05:00,"8/17/15",00:05:00,"8/17/15","MISDEMEANOR","STATEN ISLAND",40.62256146,-74.16025205
430796988,"5/16/15",13:00:00,"8/16/15",14:00:00,"8/16/15","MISDEMEANOR","STATEN ISLAND",40.6006855,-74.17702746
811199349,"5/10/15",15:00:00,NA,NA,"8/13/15","MISDEMEANOR","STATEN ISLAND",40.62639311,-74.08226758
487071912,"5/31/15",09:00:00,"8/11/15",12:34:00,"8/12/15","MISDEMEANOR","STATEN ISLAND",40.61305985,-74.13844939
804112042,"5/12/15",12:20:00,"8/12/15",12:27:00,"8/12/15","VIOLATION","STATEN ISLAND",40.61628527,-74.06775015
768752399,"5/8/15",00:01:00,"5/8/15",23:59:00,"8/8/15","FELONY","STATEN ISLAND",40.59533741,-74.16105811
543650686,"5/25/15",12:00:00,"8/4/15",07:00:00,"8/5/15","FELONY","STATEN ISLAND",40.55597879,-74.11625678
610090652,"5/6/15",12:00:00,NA,NA,"8/5/15","FELONY","STATEN ISLAND",40.63900913,-74.09186393
540043251,"5/21/15",00:01:00,"7/31/15",23:59:00,"8/2/15","MISDEMEANOR","STATEN ISLAND",40.57817568,-74.16952684
538210196,"5/16/15",17:45:00,"7/30/15",22:30:00,"7/31/15","VIOLATION","STATEN ISLAND",40.52780524,-74.16788827
763019304,"5/15/15",23:00:00,"5/15/15",23:59:00,"7/31/15","MISDEMEANOR","STATEN ISLAND",40.60038526,-74.1330503
935732448,"5/5/15",12:00:00,NA,NA,"7/30/15","MISDEMEANOR","STATEN ISLAND",40.62848323,-74.16897013
288175260,"5/21/15",15:00:00,"7/28/15",15:00:00,"7/29/15","VIOLATION","STATEN ISLAND",40.53434119,-74.23621446
842435946,"5/25/15",12:00:00,"7/25/15",23:30:00,"7/27/15","MISDEMEANOR","STATEN ISLAND",40.50693265,-74.24476254
922372609,"5/17/15",12:00:00,"5/24/15",12:00:00,"7/27/15","MISDEMEANOR","STATEN ISLAND",40.56119808,-74.10630754
