"CMPLNT_NUM","CMPLNT_FR_DT","CMPLNT_FR_TM","CMPLNT_TO_DT","CMPLNT_TO_TM","RPT_DT","LAW_CAT_CD","BORO_NM","Latitude","Longitude"
267032567,"8/20/15",13:00:00,"12/30/15",23:30:00,"12/30/15","MISDEMEANOR","STATEN ISLAND",40.60861931,-74.11830768
831010765,"8/1/15",01:00:00,"10/20/15",01:00:00,"12/30/15","MISDEMEANOR","STATEN ISLAND",40.63787526,-74.16178771
341248014,"8/15/15",08:00:00,"8/15/15",08:00:00,"12/28/15","MISDEMEANOR","STATEN ISLAND",40.50270918,-74.24566042
884544023,"8/23/15",12:00:00,"12/22/15",19:15:00,"12/22/15","FELONY","STATEN ISLAND",40.62897454,-74.16327563
422353034,"8/20/15",12:00:00,NA,NA,"12/20/15","MISDEMEANOR","STATEN ISLAND",40.54931869,-74.19749539
246244136,"8/15/15",00:01:00,"11/15/15",00:01:00,"12/19/15","MISDEMEANOR","STATEN ISLAND",40.62998115,-74.16378607
974049670,"8/15/15",12:00:00,"12/18/15",12:00:00,"12/18/15","MISDEMEANOR","STATEN ISLAND",40.5783573,-74.11617694
952935971,"8/31/15",23:59:00,"12/9/15",13:00:00,"12/15/15","FELONY","STATEN ISLAND",40.61261846,-74.08770363
367509665,"8/20/15",00:01:00,"11/20/15",00:01:00,"12/13/15","MISDEMEANOR","STATEN ISLAND",40.60469069,-74.13167238
165867937,"8/20/15",12:05:00,"8/29/15",00:00:00,"12/11/15","FELONY","STATEN ISLAND",40.64091281,-74.08259176
117616021,"8/16/15",19:23:00,"8/16/15",19:53:00,"12/9/15","MISDEMEANOR","STATEN ISLAND",40.56961194,-74.10815663
236870606,"8/23/15",01:00:00,"11/23/15",18:00:00,"11/23/15","MISDEMEANOR","STATEN ISLAND",40.61243968,-74.16341528
352132903,"8/4/15",16:00:00,"8/4/15",20:00:00,"11/23/15","VIOLATION","STATEN ISLAND",40.59391272,-74.12600878
635458028,"8/21/15",08:00:00,NA,NA,"11/19/15","FELONY","STATEN ISLAND",40.62581335,-74.07513763
465147295,"8/31/15",13:30:00,"11/17/15",15:20:00,"11/17/15","MISDEMEANOR","STATEN ISLAND",40.55922,-74.14978938
523349149,"8/15/15",10:00:00,"10/10/15",10:00:00,"11/11/15","MISDEMEANOR","STATEN ISLAND",40.5879108,-74.10300889
114539327,"8/1/15",00:00:00,"11/10/15",00:00:00,"11/10/15","MISDEMEANOR","STATEN ISLAND",40.62070307,-74.14595056
734802394,"8/27/15",20:38:00,"10/10/15",20:24:00,"11/5/15","MISDEMEANOR","STATEN ISLAND",40.63193864,-74.16347383
640906770,"8/13/15",11:15:00,"11/5/15",10:50:00,"11/5/15","MISDEMEANOR","STATEN ISLAND",40.61056677,-74.17703565
323311200,"8/12/15",12:00:00,"11/4/15",11:30:00,"11/4/15","MISDEMEANOR","STATEN ISLAND",40.56274037,-74.14648255
706348213,"8/15/15",12:00:00,"11/2/15",22:00:00,"11/3/15","FELONY","STATEN ISLAND",40.55381701,-74.19614483
472490416,"8/1/15",08:00:00,"10/29/15",05:00:00,"10/29/15","MISDEMEANOR","STATEN ISLAND",40.61641783,-74.07935572
248086397,"8/27/15",00:30:00,"9/10/15",23:30:00,"10/28/15","FELONY","STATEN ISLAND",40.54965568,-74.15699701
255970009,"8/17/15",14:54:00,"10/27/15",16:00:00,"10/27/15","MISDEMEANOR","STATEN ISLAND",40.61056677,-74.17703565
907963220,"8/19/15",00:01:00,"8/19/15",23:59:00,"10/15/15","MISDEMEANOR","STATEN ISLAND",40.61893166,-74.08378927
865134082,"8/31/15",08:00:00,"10/12/15",11:37:00,"10/12/15","FELONY","STATEN ISLAND",40.60527932,-74.07117105
863102799,"8/10/15",08:00:00,"8/25/15",22:00:00,"10/12/15","MISDEMEANOR","STATEN ISLAND",40.63574833,-74.12144714
517648722,"8/5/15",21:29:00,"10/11/15",23:00:00,"10/12/15","MISDEMEANOR","STATEN ISLAND",40.56867825,-74.12979091
246459450,"8/5/15",08:00:00,"10/12/15",08:00:00,"10/12/15","VIOLATION","STATEN ISLAND",40.60362535,-74.06930384
790908190,"8/22/15",20:00:00,"10/7/15",08:00:00,"10/7/15","MISDEMEANOR","STATEN ISLAND",40.63498132,-74.16245085
417760899,"8/25/15",12:30:00,"9/25/15",14:00:00,"10/5/15","MISDEMEANOR","STATEN ISLAND",40.58583816,-74.16456348
496798430,"8/2/15",04:00:00,"8/2/15",04:05:00,"10/2/15","MISDEMEANOR","STATEN ISLAND",40.58982677,-74.16427807
168100585,"8/31/15",08:00:00,"9/23/15",14:00:00,"10/1/15","MISDEMEANOR","STATEN ISLAND",40.51158634,-74.24930373
233629958,"8/18/15",15:04:00,"8/18/15",15:04:00,"10/1/15","MISDEMEANOR","STATEN ISLAND",40.62624519,-74.17515712
949171524,"8/15/15",18:00:00,"9/28/15",13:00:00,"10/1/15","FELONY","STATEN ISLAND",40.55654258,-74.12811912
950786845,"8/30/15",01:30:00,"8/30/15",01:35:00,"9/30/15","MISDEMEANOR","STATEN ISLAND",40.61056677,-74.17703565
517963903,"8/8/15",19:14:00,"9/26/15",18:45:00,"9/29/15","VIOLATION","STATEN ISLAND",40.53429219,-74.15552911
982332713,"8/29/15",15:40:00,NA,NA,"9/28/15","MISDEMEANOR","STATEN ISLAND",40.59589944,-74.06333645
477855590,"8/17/15",04:20:00,"9/2/15",17:12:00,"9/28/15","MISDEMEANOR","STATEN ISLAND",40.56650489,-74.11376283
596788077,"8/22/15",14:00:00,"8/22/15",14:05:00,"9/27/15","MISDEMEANOR","STATEN ISLAND",40.63396344,-74.08575009
883315730,"8/8/15",00:01:00,"8/8/15",23:59:00,"9/25/15","FELONY","STATEN ISLAND",40.57951779,-74.08555419
947911405,"8/1/15",13:00:00,"8/30/15",13:10:00,"9/25/15","MISDEMEANOR","STATEN ISLAND",40.56425823,-74.14212733
364384421,"8/1/15",08:00:00,NA,NA,"9/25/15","VIOLATION","STATEN ISLAND",40.56425823,-74.14212733
956847102,"8/28/15",12:00:00,"9/23/15",14:00:00,"9/23/15","FELONY","STATEN ISLAND",40.63725155,-74.12736971
148988263,"8/27/15",10:00:00,"9/4/15",14:00:00,"9/22/15","FELONY","STATEN ISLAND",40.51980886,-74.2202655
974206309,"8/26/15",01:20:00,NA,NA,"9/22/15","FELONY","STATEN ISLAND",40.6188224,-74.12288959
